site_id,date,sample_row_count,unique_percent_bleaching_values,observed_percent_bleaching_min,observed_percent_bleaching_max,label_is_comment_derived,provenance_sources,provenance_sample_ids
1010,2006-05-15,3,3,1.0,5.5,True,"[""Donner""]","[""10323253"", ""10323254"", ""10323255""]"
1016,2005-05-15,2,2,5.5,40.5,True,"[""Donner""]","[""10323261"", ""10323262""]"
10189,2016-04-12,3,2,49.72,55.37,False,"[""McClanahan""]","[""10290452"", ""10290453""]"
10189,2016-05-19,3,2,28.35,42.04,False,"[""McClanahan""]","[""10290455"", ""10290456""]"
1044,2012-01-08,4,2,6.25,10.0,False,"[""Reef_Check""]","[""10315118"", ""10315125""]"
1050,2009-10-23,4,2,0.25,0.5,False,"[""Reef_Check""]","[""10315098"", ""10315099""]"
1051,2013-09-29,4,2,0.5,1.0,False,"[""Reef_Check""]","[""10314890"", ""10314891""]"
1065,2016-02-28,6,2,5.5,45.0,False,"[""Reef_Check""]","[""10309602"", ""10309604"", ""10309605""]"
1066,2016-02-24,4,2,2.25,11.25,False,"[""Reef_Check""]","[""10309607"", ""10309608""]"
1068,2006-05-01,4,2,0.0,1.5,False,"[""Reef_Check""]","[""10314063"", ""10314065""]"
1073,2006-04-29,4,2,0.75,1.25,False,"[""Reef_Check""]","[""10314100"", ""10314105""]"
1073,2010-04-18,4,2,1.5,4.25,False,"[""Reef_Check""]","[""10314103"", ""10314104""]"
1074,2005-10-15,6,2,0.0,5.0,False,"[""Reef_Check""]","[""10313941"", ""10313946"", ""10313947""]"
1074,2006-02-19,6,3,3.25,7.5,False,"[""Reef_Check""]","[""10313942"", ""10313943"", ""10313948""]"
1074,2006-10-15,6,3,0.0,1.25,False,"[""Reef_Check""]","[""10313939"", ""10313944"", ""10313949""]"
1074,2007-07-15,6,2,0.0,1.25,False,"[""Reef_Check""]","[""10313940"", ""10313945"", ""10313950""]"
1084,2003-04-23,4,2,0.25,0.75,False,"[""Reef_Check""]","[""10314023"", ""10314025""]"
1086,2006-09-24,4,2,0.0,25.0,False,"[""Reef_Check""]","[""10313915"", ""10313916""]"
1094,2005-09-19,6,3,0.25,1.0,False,"[""Reef_Check""]","[""10313886"", ""10313888"", ""10313889""]"
1094,2005-09-20,4,2,0.0,1.5,False,"[""Reef_Check""]","[""10313880"", ""10313881""]"
1095,2005-09-23,6,3,0.0,1.0,False,"[""Reef_Check""]","[""10313848"", ""10313850"", ""10313851""]"
1096,2006-04-17,4,2,1.25,1.75,False,"[""Reef_Check""]","[""10313849"", ""10313853""]"
1099,2005-09-22,12,3,0.25,1.0,False,"[""Reef_Check""]","[""10313855"", ""10313856"", ""10313858"", ""10313859"", ""10313860"", ""10313861""]"
1106,2009-04-18,4,2,1.0,3.25,False,"[""Reef_Check""]","[""10313812"", ""10313813""]"
1155,2005-10-10,4,2,0.25,0.5,False,"[""Reef_Check""]","[""10308780"", ""10308784""]"
1156,2005-10-12,4,2,0.25,0.5,False,"[""Reef_Check""]","[""10308785"", ""10308794""]"
1156,2007-09-23,4,2,0.0,0.25,False,"[""Reef_Check""]","[""10308786"", ""10308787""]"
116,2005-03-05,4,2,0.25,1.0,False,"[""Reef_Check""]","[""10313566"", ""10313568""]"
116,2006-03-04,4,2,5.0,11.25,False,"[""Reef_Check""]","[""10313559"", ""10313569""]"
116,2009-04-11,4,2,0.0,40.0,False,"[""Reef_Check""]","[""10313561"", ""10313570""]"
116,2010-02-07,4,2,4.5,8.0,False,"[""Reef_Check""]","[""10313562"", ""10313571""]"
116,2015-08-02,4,2,2.0,3.0,False,"[""Reef_Check""]","[""10313564"", ""10313572""]"
116,2017-05-01,4,2,35.0,65.0,False,"[""Reef_Check""]","[""10313565"", ""10313567""]"
12,2004-04-25,4,2,1.0,3.0,False,"[""Reef_Check""]","[""10314038"", ""10314039""]"
12,2006-03-25,4,2,2.0,4.75,False,"[""Reef_Check""]","[""10314042"", ""10314043""]"
12068,2005-09-27,2,2,7.94,10.0,False,"[""FRRP""]","[""10274583"", ""10274584""]"
121,1998-03-15,2,2,5.5,55.0,True,"[""Donner""]","[""10322137"", ""10322138""]"
123,2004-05-22,4,2,0.0,0.02,False,"[""Reef_Check""]","[""10313497"", ""10313498""]"
123,2010-02-03,4,2,0.0,2.0,False,"[""Reef_Check""]","[""10313502"", ""10313503""]"
123,2011-03-26,4,2,5.0,6.5,False,"[""Reef_Check""]","[""10313504"", ""10313505""]"
1231,2008-05-13,4,2,30.0,33.75,False,"[""Reef_Check""]","[""10319879"", ""10319880""]"
1243,1999-08-15,2,2,1.94,9.68,False,"[""Donner""]","[""10323337"", ""10323338""]"
1251,1998-08-15,3,3,6.38,9.52,False,"[""Donner""]","[""10323346"", ""10323347"", ""10323348""]"
1292,2004-03-22,3,2,0.0,0.25,False,"[""Reef_Check""]","[""10319703"", ""10319704""]"
12952,2010-08-16,2,2,3.7,6.99,False,"[""FRRP""]","[""10275446"", ""10275447""]"
1311,2012-02-01,4,2,5.0,10.0,False,"[""Reef_Check""]","[""10320107"", ""10320108""]"
1322,1987-09-15,2,2,30.5,41.1,True,"[""Donner""]","[""10323391"", ""10323392""]"
133,2006-03-15,2,2,1.5,5.5,True,"[""Donner""]","[""10322140"", ""10322141""]"
1331,2005-10-15,11,8,5.5,75.0,True,"[""Donner""]","[""10323403"", ""10323404"", ""10323405"", ""10323406"", ""10323407"", ""10323408"", ""10323409"", ""10323410"", ""10323411"", ""10323412"", ""10323413""]"
1333,2005-10-15,12,10,5.5,42.9,True,"[""Donner""]","[""10323415"", ""10323416"", ""10323417"", ""10323418"", ""10323421"", ""10323422"", ""10323423"", ""10323424"", ""10323425"", ""10323426"", ""10323427"", ""10323428""]"
1339,2005-10-15,7,7,8.3,83.3,True,"[""Donner""]","[""10323436"", ""10323437"", ""10323438"", ""10323439"", ""10323440"", ""10323441"", ""10323442""]"
1340,2005-10-15,12,11,18.2,75.8,False,"[""Donner""]","[""10323443"", ""10323444"", ""10323445"", ""10323446"", ""10323447"", ""10323448"", ""10323449"", ""10323450"", ""10323451"", ""10323452"", ""10323453"", ""10323454""]"
1341,2005-10-15,7,6,41.7,75.0,True,"[""Donner""]","[""10323455"", ""10323456"", ""10323457"", ""10323458"", ""10323459"", ""10323460"", ""10323461""]"
1421,1999-05-15,4,4,1.54,38.89,False,"[""Donner""]","[""10323507"", ""10323508"", ""10323509"", ""10323510""]"
1422,1999-05-15,2,2,5.5,6.95,True,"[""Donner""]","[""10323511"", ""10323512""]"
1485,2004-08-12,4,2,1.5,7.5,False,"[""Reef_Check""]","[""10320973"", ""10320974""]"
150,2005-03-14,4,2,0.1,0.5,False,"[""Reef_Check""]","[""10313894"", ""10313895""]"
1501,2004-08-09,4,2,10.0,11.25,False,"[""Reef_Check""]","[""10320553"", ""10320554""]"
1508,2005-09-22,4,2,6.25,8.75,False,"[""Reef_Check""]","[""10320971"", ""10320972""]"
1516,2005-09-21,4,2,6.75,45.0,False,"[""Reef_Check""]","[""10320961"", ""10320962""]"
1517,2004-08-04,4,2,0.0,3.5,False,"[""Reef_Check""]","[""10320916"", ""10320920""]"
1517,2006-08-29,4,2,0.0,0.75,False,"[""Reef_Check""]","[""10320919"", ""10320922""]"
1517,2007-05-29,4,2,0.0,0.75,False,"[""Reef_Check""]","[""10320917"", ""10320918""]"
1521,2006-08-29,4,2,0.0,2.75,False,"[""Reef_Check""]","[""10320899"", ""10320900""]"
1523,2006-08-29,4,2,0.0,3.25,False,"[""Reef_Check""]","[""10320896"", ""10320897""]"
1523,2007-05-27,4,2,0.0,1.0,False,"[""Reef_Check""]","[""10320894"", ""10320895""]"
1526,2006-08-29,4,2,0.0,0.5,False,"[""Reef_Check""]","[""10320890"", ""10320891""]"
1526,2007-05-19,4,2,0.0,2.0,False,"[""Reef_Check""]","[""10320892"", ""10320893""]"
1527,2005-09-15,2,2,5.0,45.0,False,"[""Donner""]","[""10323561"", ""10323562""]"
1528,2007-05-20,4,2,0.0,0.25,False,"[""Reef_Check""]","[""10320886"", ""10320887""]"
1529,2006-08-31,4,2,0.0,2.25,False,"[""Reef_Check""]","[""10320884"", ""10320885""]"
1532,2006-08-23,4,2,0.0,1.5,False,"[""Reef_Check""]","[""10320875"", ""10320876""]"
1533,2006-08-31,4,2,0.0,2.25,False,"[""Reef_Check""]","[""10320878"", ""10320879""]"
1533,2007-05-17,4,2,0.0,0.5,False,"[""Reef_Check""]","[""10320880"", ""10320881""]"
1535,2006-08-28,4,2,0.0,1.5,False,"[""Reef_Check""]","[""10320863"", ""10320864""]"
1535,2007-05-16,4,2,0.0,0.25,False,"[""Reef_Check""]","[""10320865"", ""10320866""]"
1536,2005-09-15,2,2,6.3,8.8,False,"[""Donner""]","[""10323563"", ""10323564""]"
1538,2005-09-15,2,2,6.8,45.0,False,"[""Donner""]","[""10323565"", ""10323566""]"
1540,2006-08-28,4,2,0.25,5.0,False,"[""Reef_Check""]","[""10320859"", ""10320861""]"
1540,2007-05-16,4,2,0.0,1.25,False,"[""Reef_Check""]","[""10320860"", ""10320862""]"
1543,2005-09-13,4,2,5.0,45.0,False,"[""Reef_Check""]","[""10320850"", ""10320851""]"
1543,2006-08-28,4,2,0.0,6.75,False,"[""Reef_Check""]","[""10320847"", ""10320848""]"
1543,2007-05-17,4,2,0.0,0.75,False,"[""Reef_Check""]","[""10320849"", ""10320852""]"
15437,2019-03-28,4,2,0.75,22.5,False,"[""Reef_Check""]","[""10310090"", ""10310091""]"
15460,2018-09-13,4,2,20.0,60.0,False,"[""Reef_Check""]","[""10310534"", ""10310535""]"
15467,2005-08-25,4,2,0.75,3.5,False,"[""Reef_Check""]","[""10315294"", ""10315295""]"
15468,2005-08-23,4,2,0.0,0.25,False,"[""Reef_Check""]","[""10315292"", ""10315293""]"
15470,2005-09-02,4,2,0.25,0.75,False,"[""Reef_Check""]","[""10315289"", ""10315290""]"
15471,2005-08-31,4,2,0.0,17.0,False,"[""Reef_Check""]","[""10315286"", ""10315287""]"
15472,2005-09-03,4,2,0.02,1.25,False,"[""Reef_Check""]","[""10315284"", ""10315285""]"
15473,2005-08-25,4,2,3.5,5.0,False,"[""Reef_Check""]","[""10315282"", ""10315283""]"
15475,2005-08-24,4,2,0.0,1.0,False,"[""Reef_Check""]","[""10315278"", ""10315279""]"
15493,2014-02-22,4,2,10.0,25.0,False,"[""Reef_Check""]","[""10316522"", ""10316523""]"
15493,2019-03-18,4,2,0.0,0.25,False,"[""Reef_Check""]","[""10316520"", ""10316521""]"
15496,2019-06-29,4,2,1.0,5.0,False,"[""Reef_Check""]","[""10317881"", ""10317882""]"
15503,2019-11-12,2,2,22.5,33.75,False,"[""Reef_Check""]","[""10310172"", ""10310174""]"
15503,2019-12-07,4,2,28.75,65.0,False,"[""Reef_Check""]","[""10310168"", ""10310169""]"
15504,2019-11-13,4,2,4.0,4.5,False,"[""Reef_Check""]","[""10310175"", ""10310176""]"
15511,2019-08-28,4,2,0.25,1.25,False,"[""Reef_Check""]","[""10310085"", ""10310086""]"
15523,2018-10-06,4,2,0.0,0.75,False,"[""Reef_Check""]","[""10313355"", ""10313356""]"
15524,2019-12-30,4,2,0.0,2.0,False,"[""Reef_Check""]","[""10313202"", ""10313203""]"
15538,2019-10-13,4,2,0.0,4.0,False,"[""Reef_Check""]","[""10313351"", ""10313352""]"
15541,2019-08-23,4,2,0.0,3.0,False,"[""Reef_Check""]","[""10313374"", ""10313375""]"
15559,2019-09-10,4,2,1.0,31.25,False,"[""Reef_Check""]","[""10319721"", ""10319722""]"
15561,2018-05-18,4,2,0.0,3.25,False,"[""Reef_Check""]","[""10319796"", ""10319797""]"
15562,2018-05-18,4,2,0.0,1.75,False,"[""Reef_Check""]","[""10319793"", ""10319794""]"
15563,2018-05-19,4,2,0.0,0.75,False,"[""Reef_Check""]","[""10319805"", ""10319806""]"
15564,2018-07-26,4,2,0.0,1.5,False,"[""Reef_Check""]","[""10319553"", ""10319554""]"
15565,2018-09-12,4,2,2.25,4.5,False,"[""Reef_Check""]","[""10319555"", ""10319556""]"
15566,2018-05-17,4,2,0.0,1.0,False,"[""Reef_Check""]","[""10319781"", ""10319782""]"
15567,2017-05-11,4,2,3.75,5.0,False,"[""Reef_Check""]","[""10319570"", ""10319571""]"
15568,2019-09-12,4,2,0.25,0.75,False,"[""Reef_Check""]","[""10319708"", ""10319709""]"
15569,2018-05-19,4,2,0.5,1.0,False,"[""Reef_Check""]","[""10319716"", ""10319717""]"
15573,2019-09-11,4,2,0.0,2.0,False,"[""Reef_Check""]","[""10319767"", ""10319768""]"
15575,2017-05-10,4,2,0.75,3.75,False,"[""Reef_Check""]","[""10319606"", ""10319607""]"
15576,2019-09-11,4,2,1.0,3.25,False,"[""Reef_Check""]","[""10319706"", ""10319707""]"
15577,2019-05-09,4,2,0.0,0.1,False,"[""Reef_Check""]","[""10319468"", ""10319469""]"
15579,2019-09-10,4,2,0.25,2.5,False,"[""Reef_Check""]","[""10319765"", ""10319766""]"
15581,2018-05-21,4,2,0.0,1.75,False,"[""Reef_Check""]","[""10319773"", ""10319774""]"
15581,2019-05-11,4,2,4.3,6.75,False,"[""Reef_Check""]","[""10319771"", ""10319772""]"
15582,2019-05-11,4,2,0.0,0.65,False,"[""Reef_Check""]","[""10319755"", ""10319756""]"
15583,2019-09-09,4,2,0.5,2.0,False,"[""Reef_Check""]","[""10319762"", ""10319763""]"
15584,2018-05-16,4,2,0.0,1.0,False,"[""Reef_Check""]","[""10319753"", ""10319754""]"
15585,2017-05-12,4,2,1.75,5.0,False,"[""Reef_Check""]","[""10319568"", ""10319569""]"
15586,2019-05-08,4,2,0.1,0.4,False,"[""Reef_Check""]","[""10319563"", ""10319564""]"
15587,2019-05-09,4,2,0.3,2.5,False,"[""Reef_Check""]","[""10319604"", ""10319605""]"
15588,2017-05-13,4,2,0.0,1.0,False,"[""Reef_Check""]","[""10319585"", ""10319586""]"
15591,2019-05-07,4,2,2.4,3.4,False,"[""Reef_Check""]","[""10319572"", ""10319573""]"
15593,2018-05-16,4,2,0.0,1.75,False,"[""Reef_Check""]","[""10319760"", ""10319761""]"
15604,2018-09-08,4,2,0.0,1.0,False,"[""Reef_Check""]","[""10311249"", ""10311250""]"
15613,2018-08-09,4,2,0.0,0.25,False,"[""Reef_Check""]","[""10319719"", ""10319720""]"
15629,2017-04-23,4,2,1.5,2.25,False,"[""Reef_Check""]","[""10310700"", ""10310701""]"
15631,2017-04-21,4,2,1.0,1.25,False,"[""Reef_Check""]","[""10310680"", ""10310681""]"
15635,2017-04-22,4,2,0.0,3.25,False,"[""Reef_Check""]","[""10310723"", ""10310724""]"
15636,2017-04-30,4,2,1.75,2.75,False,"[""Reef_Check""]","[""10310737"", ""10310738""]"
15637,2017-05-01,4,2,0.75,3.5,False,"[""Reef_Check""]","[""10310599"", ""10310600""]"
15638,2017-04-22,4,2,1.5,6.0,False,"[""Reef_Check""]","[""10310714"", ""10310715""]"
15639,2017-04-30,4,2,0.0,1.25,False,"[""Reef_Check""]","[""10310690"", ""10310691""]"
15641,2017-04-29,4,2,0.0,1.25,False,"[""Reef_Check""]","[""10310725"", ""10310726""]"
15643,2017-04-24,4,2,0.0,3.25,False,"[""Reef_Check""]","[""10310716"", ""10310717""]"
15647,2017-05-04,4,2,0.25,0.5,False,"[""Reef_Check""]","[""10310663"", ""10310664""]"
15649,2017-05-03,4,2,0.5,1.5,False,"[""Reef_Check""]","[""10310721"", ""10310722""]"
15656,2017-05-05,4,2,0.75,4.0,False,"[""Reef_Check""]","[""10310686"", ""10310687""]"
15657,2019-07-18,4,2,0.25,1.25,False,"[""Reef_Check""]","[""10321387"", ""10321390""]"
15657,2019-11-07,4,2,0.0,3.0,False,"[""Reef_Check""]","[""10321388"", ""10321389""]"
15669,2019-03-12,4,2,0.0,2.5,False,"[""Reef_Check""]","[""10311651"", ""10311652""]"
15669,2019-06-19,4,2,0.0,2.5,False,"[""Reef_Check""]","[""10311649"", ""10311650""]"
15726,2018-07-01,4,2,0.0,0.25,False,"[""Reef_Check""]","[""10312084"", ""10312086""]"
15734,2019-12-16,4,2,0.5,1.25,False,"[""Reef_Check""]","[""10317244"", ""10317245""]"
15735,2020-01-24,4,2,0.0,0.75,False,"[""Reef_Check""]","[""10316975"", ""10316976""]"
1576,2005-10-15,24,18,1.0,100.0,True,"[""Donner""]","[""10323601"", ""10323602"", ""10323605"", ""10323606"", ""10323607"", ""10323608"", ""10323609"", ""10323610"", ""10323611"", ""10323612"", ""10323613"", ""10323622"", ""10323628"", ""10323634"", ""10323635"", ""10323636"", ""10323637"", ""10323638"", ""10323639"", ""10323640"", ""10323641"", ""10323642"", ""10323643""]"
1577,2005-10-15,6,6,1.4,25.0,True,"[""Donner""]","[""10323644"", ""10323645"", ""10323646"", ""10323647"", ""10323648"", ""10323649""]"
1578,2005-10-15,5,5,5.5,28.6,True,"[""Donner""]","[""10323651"", ""10323654"", ""10323655"", ""10323656"", ""10323657""]"
1579,2005-10-15,8,8,2.4,65.0,True,"[""Donner""]","[""10323658"", ""10323659"", ""10323660"", ""10323661"", ""10323662"", ""10323663"", ""10323664"", ""10323665""]"
1580,2005-10-15,7,7,4.0,60.0,True,"[""Donner""]","[""10323666"", ""10323667"", ""10323668"", ""10323669"", ""10323670"", ""10323671"", ""10323672""]"
1581,2005-10-15,13,10,0.3,46.7,True,"[""Donner""]","[""10323673"", ""10323674"", ""10323675"", ""10323676"", ""10323677"", ""10323678"", ""10323679"", ""10323680"", ""10323681"", ""10323682"", ""10323683"", ""10323684"", ""10323685""]"
1589,2005-10-15,5,5,2.0,16.7,True,"[""Donner""]","[""10323694"", ""10323695"", ""10323696"", ""10323698"", ""10323699""]"
1590,2005-10-15,7,7,0.4,55.0,True,"[""Donner""]","[""10323700"", ""10323701"", ""10323702"", ""10323703"", ""10323704"", ""10323705"", ""10323706""]"
1591,2005-10-15,3,3,15.4,20.0,False,"[""Donner""]","[""10323707"", ""10323708"", ""10323709""]"
1596,2005-10-15,8,8,1.5,77.0,False,"[""Donner""]","[""10323714"", ""10323715"", ""10323716"", ""10323717"", ""10323718"", ""10323719"", ""10323720"", ""10323721""]"
1598,2005-10-15,7,7,5.0,70.0,False,"[""Donner""]","[""10323723"", ""10323724"", ""10323725"", ""10323726"", ""10323727"", ""10323728"", ""10323729""]"
16,2005-09-21,6,2,0.0,0.25,False,"[""Reef_Check""]","[""10313869"", ""10313872"", ""10313874""]"
1600,2005-10-15,9,8,0.7,30.0,False,"[""Donner""]","[""10323732"", ""10323733"", ""10323734"", ""10323735"", ""10323736"", ""10323737"", ""10323738"", ""10323739"", ""10323740""]"
1601,2005-10-15,7,6,0.8,27.2,False,"[""Donner""]","[""10323741"", ""10323742"", ""10323743"", ""10323744"", ""10323745"", ""10323746"", ""10323747""]"
1602,2005-11-15,20,9,1.0,8.0,True,"[""Donner""]","[""10323748"", ""10323749"", ""10323750"", ""10323751"", ""10323755"", ""10323756"", ""10323757"", ""10323758"", ""10323759"", ""10323760"", ""10323761"", ""10323764"", ""10323765"", ""10323766"", ""10323767"", ""10323768"", ""10323769"", ""10323770"", ""10323773"", ""10323784""]"
164,2006-03-15,2,2,5.5,40.0,True,"[""Donner""]","[""10322150"", ""10322151""]"
167,2015-11-22,4,2,1.0,3.0,False,"[""Reef_Check""]","[""10314954"", ""10314960""]"
175,2015-11-01,4,2,4.25,5.5,False,"[""Reef_Check""]","[""10315041"", ""10315042""]"
179,2015-11-01,4,2,30.0,35.0,False,"[""Reef_Check""]","[""10315024"", ""10315025""]"
1790,2006-01-15,2,2,20.0,59.4,False,"[""Donner""]","[""10323856"", ""10323857""]"
1791,2006-01-15,2,2,40.0,67.1,False,"[""Donner""]","[""10323858"", ""10323859""]"
1792,2006-01-15,2,2,40.0,46.6,False,"[""Donner""]","[""10323860"", ""10323861""]"
1793,2006-01-15,2,2,40.0,71.6,False,"[""Donner""]","[""10323862"", ""10323863""]"
1794,2006-01-15,2,2,40.0,50.9,False,"[""Donner""]","[""10323865"", ""10323866""]"
1795,2006-01-15,2,2,40.0,70.4,False,"[""Donner""]","[""10323867"", ""10323868""]"
1796,2006-01-15,2,2,40.0,59.5,False,"[""Donner""]","[""10323870"", ""10323871""]"
1799,2005-05-03,4,2,0.0,0.25,False,"[""Reef_Check""]","[""10318896"", ""10318897""]"
1799,2006-04-09,4,2,57.5,58.75,False,"[""Reef_Check""]","[""10318895"", ""10318900""]"
1799,2007-05-16,4,2,0.0,90.0,False,"[""Reef_Check""]","[""10318903"", ""10318904""]"
1799,2010-05-19,4,2,0.25,8.0,False,"[""Reef_Check""]","[""10318911"", ""10318912""]"
1800,2005-12-16,4,2,38.75,55.0,False,"[""Reef_Check""]","[""10318916"", ""10318922""]"
1800,2006-04-09,4,2,42.5,53.75,False,"[""Reef_Check""]","[""10318920"", ""10318926""]"
1800,2007-05-15,4,2,0.0,66.88,False,"[""Reef_Check""]","[""10318918"", ""10318921""]"
1809,2005-05-04,4,2,0.0,0.25,False,"[""Reef_Check""]","[""10318860"", ""10318868""]"
1809,2005-12-15,4,2,48.75,73.75,False,"[""Reef_Check""]","[""10318861"", ""10318878""]"
1809,2006-04-22,4,2,28.75,53.75,False,"[""Reef_Check""]","[""10318862"", ""10318863""]"
1809,2007-05-25,4,2,0.0,11.0,False,"[""Reef_Check""]","[""10318867"", ""10318877""]"
1809,2010-05-18,4,2,0.0,20.0,False,"[""Reef_Check""]","[""10318872"", ""10318873""]"
1813,2005-06-30,4,2,0.0,12.5,False,"[""Reef_Check""]","[""10318940"", ""10318941""]"
1817,2003-06-25,4,2,0.0,0.5,False,"[""Reef_Check""]","[""10318883"", ""10318884""]"
1820,2005-05-05,4,2,0.0,0.25,False,"[""Reef_Check""]","[""10318973"", ""10318979""]"
1820,2005-12-13,4,2,47.5,48.75,False,"[""Reef_Check""]","[""10318974"", ""10318975""]"
1820,2006-04-11,4,2,36.25,38.75,False,"[""Reef_Check""]","[""10318976"", ""10318977""]"
1820,2006-05-24,4,2,25.0,42.5,False,"[""Reef_Check""]","[""10318978"", ""10318989""]"
1820,2007-05-17,4,2,0.0,79.5,False,"[""Reef_Check""]","[""10318972"", ""10318980""]"
1820,2009-05-13,4,2,2.0,3.75,False,"[""Reef_Check""]","[""10318983"", ""10318984""]"
1827,2005-10-15,2,2,5.5,95.0,True,"[""Donner""]","[""10323887"", ""10323888""]"
