site_id,latitude,longitude,ocean_name,realm_name,ecoregion_name,country_name,state_name,city_town_name,site_name,reef_id,distance_to_shore_km,exposure,turbidity,cyclone_frequency,depth_mean_m,observed_record_count,observed_positive_count,latest_observed_date,first_observed_date,provenance_source_count,provenance_sources,mean_label_quality_score,display_name
1590,17.563,-87.475,Atlantic,Tropical Atlantic,Belize and west Caribbean,Belize,Belize Barrier Reef,Lighthouse Reef,(1) Turneffe Atoll,,11404.289999999999,Exposed,0.0297,47.39,11.0,1,1,2005-10-15,2005-10-15,1,"[""Donner""]",0.17,(1) Turneffe Atoll
1581,16.176,-88.225,Atlantic,Tropical Atlantic,Belize and west Caribbean,Belize,Toledo District,,(10) North Spot,,4958.72,Exposed,0.0733,59.26,12.0,1,1,2005-10-15,2005-10-15,1,"[""Donner""]",0.17,(10) North Spot
1578,16.218,-88.191,Atlantic,Tropical Atlantic,Belize and west Caribbean,Belize,Toledo District,,(11) Tom Owen's Caye,,10867.14,Exposed,0.0996,59.260000000000005,13.35,1,1,2005-10-15,2005-10-15,1,"[""Donner""]",0.17,(11) Tom Owen's Caye
1600,16.154,-88.237,Atlantic,Tropical Atlantic,Belize and west Caribbean,Belize,Toledo District,,(12) North East Sapodilla Caye,,2285.31,Exposed,0.0592,50.14,12.0,1,1,2005-10-15,2005-10-15,1,"[""Donner""]",0.77,(12) North East Sapodilla Caye
1579,17.538,-87.744,Atlantic,Tropical Atlantic,Belize and west Caribbean,Belize,Belize Barrier Reef,Turneffe Atoll,(2) Turneffe Atoll,,1864.56,Exposed,0.0326,52.51,11.85,1,1,2005-10-15,2005-10-15,1,"[""Donner""]",0.17,(2) Turneffe Atoll
1580,17.5,-87.758,Atlantic,Tropical Atlantic,Belize and west Caribbean,Belize,Belize Barrier Reef,Turneffe Atoll,(3) Turneffe Atoll,,751.72,Sometimes,0.0366,54.589999999999996,11.25,1,1,2005-10-15,2005-10-15,1,"[""Donner""]",0.17,(3) Turneffe Atoll
1598,17.484,-87.48,Atlantic,Tropical Atlantic,Belize and west Caribbean,Belize,Belize Barrier Reef,Lighthouse Reef,(4) Turneffe Atoll,,2333.94,Exposed,0.0344,39.42,11.55,1,1,2005-10-15,2005-10-15,1,"[""Donner""]",0.77,(4) Turneffe Atoll
1596,16.533,-87.979,Atlantic,Tropical Atlantic,Belize and west Caribbean,Belize,Stann Creek District,Placencia,(5) Gladden Spit,,8871.56,Exposed,0.061,68.53,9.0,1,1,2005-10-15,2005-10-15,1,"[""Donner""]",0.77,(5) Gladden Spit
1591,16.393,-88.07,Atlantic,Tropical Atlantic,Belize and west Caribbean,Belize,Toledo District,,(6) Pompion Caye,,33314.3,Exposed,0.0593,54.330000000000005,11.699999999999998,1,1,2005-10-15,2005-10-15,1,"[""Donner""]",0.77,(6) Pompion Caye
1601,16.33,-88.126,Atlantic,Tropical Atlantic,Belize and west Caribbean,Belize,Toledo District,,(7) Ranguana Caye Canyons,,25011.63,Exposed,0.1048,65.83,12.3,1,1,2005-10-15,2005-10-15,1,"[""Donner""]",0.77,(7) Ranguana Caye Canyons
1589,16.313,-88.137,Atlantic,Tropical Atlantic,Belize and west Caribbean,Belize,Toledo District,,(8) Ranguana Caye South Canyon,,22781.95,Exposed,0.1048,65.83,11.4,1,1,2005-10-15,2005-10-15,1,"[""Donner""]",0.17,(8) Ranguana Caye South Canyon
1577,16.251,-88.176,Atlantic,Tropical Atlantic,Belize and west Caribbean,Belize,Toledo District,,(9) No Name Site,,14778.909999999998,Exposed,0.10049999999999999,65.83,10.2,1,1,2005-10-15,2005-10-15,1,"[""Donner""]",0.17,(9) No Name Site
7041,9.349,-82.263,Atlantic,Tropical Atlantic,Belize and west Caribbean,Panama,Bocas del Toro,La Cabana,10 Cayo Roldan,,100.82,Sheltered,0.7188,49.44,10.5,3,3,2006-08-15,2005-09-15,1,"[""Donner""]",0.87,10 Cayo Roldan
7043,9.256,-82.235,Atlantic,Tropical Atlantic,Belize and west Caribbean,Panama,Bocas del Toro,Cristobal Island,11 Colon,,138.11,Sheltered,0.1585,49.38,10.5,3,3,2006-08-15,2005-09-15,1,"[""Donner""]",0.87,11 Colon
7042,9.308,-82.207,Atlantic,Tropical Atlantic,Belize and west Caribbean,Panama,Bocas del Toro,Bastimentos Island,12 Buttonwood (Solarte),,42.91,Sheltered,0.2417,49.38,8.0,3,3,2006-08-15,2005-09-15,1,"[""Donner""]",0.87,12 Buttonwood (Solarte)
7047,9.267,-82.12,Atlantic,Tropical Atlantic,Belize and west Caribbean,Panama,Bocas del Toro,Bastimentos Island,13 Bastimentos,,1652.92,Sheltered,0.1399,49.38,5.5,3,2,2006-08-15,2005-09-15,1,"[""Donner""]",0.72,13 Bastimentos
7039,9.133,-82.04,Atlantic,Tropical Atlantic,Belize and west Caribbean,Panama,Bocas del Toro,Laguna de Chiriqui,14 Cayo Agua,,454.87999999999994,Sheltered,0.24539999999999998,49.169999999999995,8.0,3,3,2006-08-15,2005-09-15,1,"[""Donner""]",0.87,14 Cayo Agua
7045,9.405,-79.86,Atlantic,Tropical Atlantic,Belize and west Caribbean,Panama,Colon Province,Colon,15 Galeta,,264.34,Exposed,0.0826,49.31,8.0,1,1,2005-08-15,2005-08-15,1,"[""Donner""]",0.87,15 Galeta
7044,9.397,-79.832,Atlantic,Tropical Atlantic,Belize and west Caribbean,Panama,Colon Province,Bahia Las Minas,16 Largo Remo,,158.03,Exposed,0.0752,49.31,8.0,1,1,2005-08-15,2005-08-15,1,"[""Donner""]",0.87,16 Largo Remo
