site_id,month,date,latitude,longitude,distance_to_shore_km,exposure,turbidity,cyclone_frequency,depth_mean_m,observed_same_month_hotspot_like,observed_same_month_dhw_like,observed_percent_bleaching,label_quality_score,source_count,has_conflict_history,has_derived_label_input,observed_record_count,observed_rows_in_month,observed_dates_in_month,country_name,ecoregion_name,target_bleaching_event,observed_severity_category,target_is_direct_observation,target_is_binary_derivation,target_eligible,coverage_warning,month_sin,month_cos,weekly_history_dates,hotspot_like,dhw_like,weekly_anchor_date,days_since_anchor_monday,weekly_history_weeks_available,weekly_expected_history_weeks,weekly_missing_fraction_12w,weekly_history_span_days,weekly_missing_internal_weeks,hotspot_like_lag_1w,dhw_like_lag_1w,hotspot_like_lag_2w,dhw_like_lag_2w,hotspot_like_lag_4w,dhw_like_lag_4w,hotspot_like_lag_8w,dhw_like_lag_8w,hotspot_like_mean_4w,hotspot_like_max_4w,hotspot_like_min_4w,hotspot_like_trend_4w,hotspot_like_positive_weeks_4w,dhw_like_mean_4w,dhw_like_max_4w,dhw_like_min_4w,dhw_like_trend_4w,dhw_like_positive_weeks_4w,dhw_like_alert_weeks_4w,hotspot_like_mean_8w,hotspot_like_max_8w,hotspot_like_min_8w,hotspot_like_trend_8w,hotspot_like_positive_weeks_8w,dhw_like_mean_8w,dhw_like_max_8w,dhw_like_min_8w,dhw_like_trend_8w,dhw_like_positive_weeks_8w,dhw_like_alert_weeks_8w,hotspot_like_mean_12w,hotspot_like_max_12w,hotspot_like_min_12w,hotspot_like_trend_12w,hotspot_like_positive_weeks_12w,dhw_like_mean_12w,dhw_like_max_12w,dhw_like_min_12w,dhw_like_trend_12w,dhw_like_positive_weeks_12w,dhw_like_alert_weeks_12w,weekly_feature_ready,split,reference_observed_date,future_window_end_date,future_observation_count_4w,future_positive_observation_count_4w,first_future_observation_date,first_future_positive_date,days_to_first_future_observation,days_to_first_future_positive,target_bleaching_event_next_4w,target_label_window,target_label_source,split_eligible
5256,1986-06,1986-06-09,26.5,128.0,413.11,Sheltered,0.0414,65.16,,-4.02,0.0,87.5,0.82,1,False,False,1,1,1,Japan,North Ryukyu Islands Japan,1,severe,True,False,True,Future label is positive because a direct survey in the next 4 weeks reported bleaching.,0.49999999999999994,-0.8660254037844387,"['1986-03-24', '1986-03-31', '1986-04-07', '1986-04-14', '1986-04-21', '1986-04-28', '1986-05-05', '1986-05-12', '1986-05-19', '1986-05-26', '1986-06-02', '1986-06-09']",-3.7,0.0,1986-06-09,0,12.0,12.0,0.0,77.0,0.0,-3.61,0.0,-4.28,0.0,-3.66,0.0,-6.2,0.0,-3.975,-3.61,-4.3100000000000005,0.2500000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.345,-3.61,-6.28,0.2702380952380945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.294166666666667,-3.61,-8.32,0.4200349650349649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,train,1986-06-15,1986-07-07,1,1,1986-06-15,1986-06-15,6,6,1,next_4w,future_direct_observation,True
8818,1987-08,1987-08-10,25.393,-80.168,4297.32,Sometimes,0.1542,54.86,3.0,0.23,1.25,9.6,0.87,1,False,False,1,1,1,United States,Bahamas and Florida Keys,1,mild,True,False,True,Future label is positive because a direct survey in the next 4 weeks reported bleaching.,-0.4999999999999997,-0.8660254037844388,"['1987-05-25', '1987-06-01', '1987-06-08', '1987-06-15', '1987-06-22', '1987-06-29', '1987-07-06', '1987-07-13', '1987-07-20', '1987-07-27', '1987-08-03', '1987-08-10']",0.79,0.49,1987-08-10,0,12.0,12.0,0.0,77.0,0.0,0.49,0.49,0.39,0.49,0.91,0.0,-1.47,0.0,0.38,0.79,-0.15,0.2920000000000001,3.0,0.49,0.49,0.49,-1.7758918749666985e-17,4.0,0.0,0.09125,0.91,-1.51,0.2441666666666665,5.0,0.245,0.49,0.0,0.0933333333333333,4.0,0.0,-0.6674999999999999,0.91,-3.15,0.348986013986014,5.0,0.1633333333333333,0.49,0.0,0.0548251748251748,4.0,0.0,True,train,1987-08-15,1987-09-07,1,1,1987-08-15,1987-08-15,5,5,1,next_4w,future_direct_observation,True
8919,1987-08,1987-08-10,25.0,-80.372,9425.11,Exposed,0.0527,62.54,8.5,0.43,0.0,31.7,0.87,1,False,False,1,1,1,United States,Bahamas and Florida Keys,1,severe,True,False,True,Future label is positive because a direct survey in the next 4 weeks reported bleaching.,-0.4999999999999997,-0.8660254037844388,"['1987-05-25', '1987-06-01', '1987-06-08', '1987-06-15', '1987-06-22', '1987-06-29', '1987-07-06', '1987-07-13', '1987-07-20', '1987-07-27', '1987-08-03', '1987-08-10']",0.71,0.15,1987-08-10,0,12.0,12.0,0.0,77.0,0.0,0.44,0.15,0.36,0.15,0.72,0.0,-1.66,0.0,0.3199999999999999,0.71,-0.23,0.29,3.0,0.15,0.15,0.15,-2.255841127716217e-17,4.0,0.0,0.0424999999999999,0.72,-1.48,0.2285714285714284,5.0,0.075,0.15,0.0,0.0285714285714285,4.0,0.0,-0.7275,0.72,-3.25,0.346118881118881,5.0,0.0499999999999999,0.15,0.0,0.0167832167832167,4.0,0.0,True,train,1987-08-15,1987-09-07,1,1,1987-08-15,1987-08-15,5,5,1,next_4w,future_direct_observation,True
6560,1987-10,1987-10-12,23.3333,-109.4167,848.58,Sheltered,0.0813,56.3,,1.2,1.43,9.4,0.82,1,False,False,1,1,1,Mexico,Gulf of California,1,mild,True,False,True,Future label is positive because a direct survey in the next 4 weeks reported bleaching.,-1.0,-1.8369701987210297e-16,"['1987-07-27', '1987-08-03', '1987-08-10', '1987-08-17', '1987-08-24', '1987-08-31', '1987-09-07', '1987-09-14', '1987-09-21', '1987-09-28', '1987-10-05', '1987-10-12']",-0.06,6.58,1987-10-12,0,12.0,12.0,0.0,77.0,0.0,0.42,6.58,1.18,5.97,1.53,4.61,0.56,1.23,0.3124999999999999,1.18,-0.29,-0.0069999999999999,2.0,6.154999999999999,6.58,5.49,0.3879999999999996,4.0,4.0,0.79625,1.77,-0.29,-0.1417857142857141,6.0,4.4825,6.58,1.23,0.8128571428571427,8.0,5.0,0.7625000000000001,1.77,-0.29,-0.0384965034965034,10.0,3.1916666666666664,6.58,0.19,0.6829370629370628,12.0,5.0,True,train,1987-10-15,1987-11-09,1,1,1987-10-15,1987-10-15,3,3,1,next_4w,future_direct_observation,True
7056,1987-11,1987-11-09,9.55,-78.87,1024.2,Sheltered,0.0987,49.71,1.5,-1.01,2.62,5.0,0.87,1,False,False,1,1,1,Panama,Belize and west Caribbean,1,mild,True,False,True,Future label is positive because a direct survey in the next 4 weeks reported bleaching.,-0.8660254037844386,0.5000000000000001,"['1987-08-24', '1987-08-31', '1987-09-07', '1987-09-14', '1987-09-21', '1987-09-28', '1987-10-05', '1987-10-12', '1987-10-19', '1987-10-26', '1987-11-02', '1987-11-09']",-0.2,0.0,1987-11-09,0,12.0,12.0,0.0,77.0,0.0,-0.27,0.0,-0.4,0.0,0.3,0.0,-0.16,0.51,-0.1175,0.4,-0.4,-0.167,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1137499999999999,0.55,-0.4,-0.1210714285714285,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0808333333333333,0.55,-0.4,-0.0231818181818181,6.0,0.17,0.51,0.0,-0.057062937062937,4.0,0.0,True,train,1987-11-15,1987-12-07,1,1,1987-11-15,1987-11-15,6,6,1,next_4w,future_direct_observation,True
1839,1988-05,1988-05-09,19.275,-81.349,500.99,Sheltered,0.0379,57.83,12.0,-2.04,0.0,56.0,0.87,1,False,False,1,1,1,Cayman Islands,Cuba and Cayman Islands,1,severe,True,False,True,Future label is positive because a direct survey in the next 4 weeks reported bleaching.,0.8660254037844387,-0.4999999999999998,"['1988-02-22', '1988-02-29', '1988-03-07', '1988-03-14', '1988-03-21', '1988-03-28', '1988-04-04', '1988-04-11', '1988-04-18', '1988-04-25', '1988-05-02', '1988-05-09']",-1.9,0.0,1988-05-09,0,12.0,12.0,0.0,77.0,0.0,-1.89,0.0,-2.03,0.0,-2.16,0.0,-1.89,0.0,-2.0025000000000004,-1.89,-2.19,0.1010000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3550000000000004,-1.89,-3.45,0.1847619047619047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4733333333333336,-1.89,-3.59,0.1043356643356643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,train,1988-05-15,1988-06-06,1,1,1988-05-15,1988-05-15,6,6,1,next_4w,future_direct_observation,True
3467,1991-03,1991-03-11,-17.575,-149.7833,1431.62,Exposed,0.0262,51.2,14.0,1.29,0.26,50.7,0.87,1,False,False,1,1,1,French Polynesia,Society Islands French Polynesia,1,severe,True,False,True,Future label is positive because a direct survey in the next 4 weeks reported bleaching.,0.8660254037844386,0.5000000000000001,"['1990-12-24', '1990-12-31', '1991-01-07', '1991-01-14', '1991-01-21', '1991-01-28', '1991-02-04', '1991-02-11', '1991-02-18', '1991-02-25', '1991-03-04', '1991-03-11']",0.54,1.15,1991-03-11,0,12.0,12.0,0.0,77.0,0.0,0.43,1.15,0.44,0.48,1.3,0.19,-0.87,0.0,0.355,0.54,0.01,0.158,4.0,0.8150000000000002,1.15,0.48,0.268,4.0,0.0,0.23,1.3,-0.37,0.1259523809523809,5.0,0.43125,1.15,0.0,0.1848809523809523,5.0,0.0,-0.215,1.3,-1.88,0.195174825174825,5.0,0.2875,1.15,0.0,0.1025524475524475,5.0,0.0,True,train,1991-03-15,1991-04-08,1,1,1991-03-15,1991-03-15,4,4,1,next_4w,future_direct_observation,True
1213,1991-08,1991-08-12,23.796,-76.137,271.85,Sheltered,0.0392,51.1,3.5,1.7,0.0,10.0,0.87,1,False,False,1,1,1,Bahamas,Bahamas and Florida Keys,1,mild,True,False,True,Future label is positive because a direct survey in the next 4 weeks reported bleaching.,-0.4999999999999997,-0.8660254037844388,"['1991-05-27', '1991-06-03', '1991-06-10', '1991-06-17', '1991-06-24', '1991-07-01', '1991-07-08', '1991-07-15', '1991-07-22', '1991-07-29', '1991-08-05', '1991-08-12']",-0.23,0.0,1991-08-12,0,12.0,12.0,0.0,77.0,0.0,0.29,0.0,-0.21,0.0,-0.05,0.0,-0.22,0.0,-0.1075,0.29,-0.28,0.065,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1525,0.29,-0.55,0.0421428571428571,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4766666666666667,0.29,-2.18,0.143076923076923,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,train,1991-08-15,1991-09-09,1,1,1991-08-15,1991-08-15,3,3,1,next_4w,future_direct_observation,True
1214,1992-08,1992-08-10,24.65,-76.805,426.09,Sometimes,0.0444,51.43,3.0,-0.18,0.0,8.0,0.87,1,False,False,1,1,1,Bahamas,Bahamas and Florida Keys,1,mild,True,False,True,Future label is positive because a direct survey in the next 4 weeks reported bleaching.,-0.4999999999999997,-0.8660254037844388,"['1992-05-25', '1992-06-01', '1992-06-08', '1992-06-15', '1992-06-22', '1992-06-29', '1992-07-06', '1992-07-13', '1992-07-20', '1992-07-27', '1992-08-03', '1992-08-10']",-0.1,0.0,1992-08-10,0,12.0,12.0,0.0,77.0,0.0,-0.07,0.0,-0.06,0.0,-1.2,0.0,-1.51,0.0,-0.22,-0.06,-0.65,0.1640000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.67125,-0.06,-1.61,0.2155952380952379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3733333333333333,-0.06,-3.84,0.323986013986014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,train,1992-08-15,1992-09-07,1,1,1992-08-15,1992-08-15,5,5,1,next_4w,future_direct_observation,True
6303,1992-12,1992-12-14,7.08,171.392,1525.14,Exposed,0.0252,51.97,1.0,-0.78,1.29,60.0,0.87,1,False,False,1,1,1,Marshall Islands,Marshall Islands,1,severe,True,False,True,Future label is positive because a direct survey in the next 4 weeks reported bleaching.,-0.5000000000000004,0.8660254037844384,"['1992-09-28', '1992-10-05', '1992-10-12', '1992-10-19', '1992-10-26', '1992-11-02', '1992-11-09', '1992-11-16', '1992-11-23', '1992-11-30', '1992-12-07', '1992-12-14']",0.27,0.46,1992-12-14,0,12.0,12.0,0.0,77.0,0.0,-0.6900000000000001,0.46,-0.6900000000000001,0.46,0.3,0.46,0.06,0.46,-0.295,0.27,-0.6900000000000001,0.102,1.0,0.46,0.46,0.46,-4.0864743673400487e-17,4.0,0.0,0.0512499999999999,0.73,-0.6900000000000001,-0.1413095238095237,5.0,0.46,0.46,0.46,3.478737902943977e-17,8.0,0.0,0.0474999999999999,0.73,-0.6900000000000001,-0.040034965034965,8.0,0.345,0.46,0.0,0.0434265734265734,9.0,0.0,True,train,1992-12-15,1993-01-11,1,1,1992-12-15,1992-12-15,1,1,1,next_4w,future_direct_observation,True
