site_id,month,date,latitude,longitude,distance_to_shore_km,exposure,turbidity,cyclone_frequency,depth_mean_m,observed_same_month_hotspot_like,observed_same_month_dhw_like,observed_percent_bleaching,label_quality_score,source_count,has_conflict_history,has_derived_label_input,observed_record_count,observed_rows_in_month,observed_dates_in_month,country_name,ecoregion_name,target_bleaching_event,observed_severity_category,target_is_direct_observation,target_is_binary_derivation,target_eligible,coverage_warning,month_sin,month_cos,weekly_history_dates,hotspot_like,dhw_like,weekly_anchor_date,days_since_anchor_monday,weekly_history_weeks_available,weekly_expected_history_weeks,weekly_missing_fraction_12w,weekly_history_span_days,weekly_missing_internal_weeks,hotspot_like_lag_1w,dhw_like_lag_1w,hotspot_like_lag_2w,dhw_like_lag_2w,hotspot_like_lag_4w,dhw_like_lag_4w,hotspot_like_lag_8w,dhw_like_lag_8w,hotspot_like_mean_4w,hotspot_like_max_4w,hotspot_like_min_4w,hotspot_like_trend_4w,hotspot_like_positive_weeks_4w,dhw_like_mean_4w,dhw_like_max_4w,dhw_like_min_4w,dhw_like_trend_4w,dhw_like_positive_weeks_4w,dhw_like_alert_weeks_4w,hotspot_like_mean_8w,hotspot_like_max_8w,hotspot_like_min_8w,hotspot_like_trend_8w,hotspot_like_positive_weeks_8w,dhw_like_mean_8w,dhw_like_max_8w,dhw_like_min_8w,dhw_like_trend_8w,dhw_like_positive_weeks_8w,dhw_like_alert_weeks_8w,hotspot_like_mean_12w,hotspot_like_max_12w,hotspot_like_min_12w,hotspot_like_trend_12w,hotspot_like_positive_weeks_12w,dhw_like_mean_12w,dhw_like_max_12w,dhw_like_min_12w,dhw_like_trend_12w,dhw_like_positive_weeks_12w,dhw_like_alert_weeks_12w,weekly_feature_ready,split
2,2004-03,2004-03-15,-14.33,-170.5,6923.2,Exposed,0.0251,54.15,8.5,1.06,0.0,40.0,0.87,1,False,False,1,1,1,United States,Samoa Tuvalu and Tonga,1,severe,True,False,True,,0.8660254037844386,0.5000000000000001,"['2003-12-29', '2004-01-05', '2004-01-12', '2004-01-19', '2004-01-26', '2004-02-02', '2004-02-09', '2004-02-16', '2004-02-23', '2004-03-01', '2004-03-08', '2004-03-15']",0.78,0.61,2004-03-15,0.0,12.0,12.0,0.0,77.0,0.0,0.56,0.61,0.5700000000000001,0.31,0.7000000000000001,0.16,-0.23,0.16,0.7050000000000001,0.91,0.56,-0.040000000000000195,4.0,0.45999999999999996,0.61,0.31,0.11999999999999994,4.0,0.0,0.555,0.91,0.2,0.0630952380952381,8.0,0.31,0.61,0.16,0.07142857142857141,8.0,0.0,0.35250000000000004,0.91,-0.37,0.07800699300699297,9.0,0.26,0.61,0.16,0.03776223776223775,12.0,0.0,True,train
2,2005-02,2005-02-15,-14.33,-170.5,6923.2,Exposed,0.0251,54.15,8.5,-0.03,0.0,80.0,0.87,1,False,False,1,1,1,United States,Samoa Tuvalu and Tonga,1,severe,True,False,True,,0.49999999999999994,0.8660254037844387,"['2004-11-29', '2004-12-06', '2004-12-13', '2004-12-20', '2004-12-27', '2005-01-03', '2005-01-10', '2005-01-17', '2005-01-24', '2005-01-31', '2005-02-07', '2005-02-14']",0.87,0.45,2005-02-14,1.0,12.0,12.0,0.0,77.0,0.0,0.71,0.3,0.27,0.3,0.67,0.15,0.39,0.15,0.61,0.87,0.27,0.12799999999999997,4.0,0.33749999999999997,0.45,0.3,0.044999999999999964,4.0,0.0,0.505,0.87,0.13,0.08095238095238094,8.0,0.24375000000000002,0.45,0.15,0.04107142857142857,8.0,0.0,0.4575,0.9,0.05,0.034580419580419554,12.0,0.21250000000000002,0.45,0.15,0.022552447552447546,12.0,0.0,True,train
2,2006-04,2006-04-15,-14.33,-170.5,6923.2,Exposed,0.0251,54.15,8.5,0.24,0.0,65.0,0.87,1,False,False,1,1,1,United States,Samoa Tuvalu and Tonga,1,severe,True,False,True,,1.0,6.123233995736766e-17,"['2006-01-23', '2006-01-30', '2006-02-06', '2006-02-13', '2006-02-20', '2006-02-27', '2006-03-06', '2006-03-13', '2006-03-20', '2006-03-27', '2006-04-03', '2006-04-10']",0.41000000000000003,0.0,2006-04-10,5.0,12.0,12.0,0.0,77.0,0.0,0.58,0.0,0.71,0.0,0.49,0.29,-0.5,1.04,0.5025000000000001,0.71,0.31,0.016999999999999987,4.0,0.0375,0.15,0.0,-0.04500000000000001,1.0,0.0,0.39499999999999996,0.71,0.09,0.0595238095238095,8.0,0.29625,1.04,0.0,-0.13440476190476183,5.0,0.0,0.20083333333333334,0.71,-0.5,0.07430069930069927,9.0,0.5441666666666668,1.04,0.0,-0.12269230769230764,9.0,0.0,True,train
2,2007-01,2007-01-15,-14.33,-170.5,6923.2,Exposed,0.0251,54.15,8.5,-0.94,0.0,82.0,0.87,1,False,False,1,1,1,United States,Samoa Tuvalu and Tonga,1,severe,True,False,True,,0.0,1.0,"['2006-10-30', '2006-11-06', '2006-11-13', '2006-11-20', '2006-11-27', '2006-12-04', '2006-12-11', '2006-12-18', '2006-12-25', '2007-01-01', '2007-01-08', '2007-01-15']",0.8200000000000001,0.3,2007-01-15,0.0,12.0,12.0,0.0,77.0,0.0,0.81,0.3,0.68,0.3,0.24,0.0,-0.5700000000000001,0.0,0.7575000000000001,0.8200000000000001,0.68,0.042999999999999906,4.0,0.22499999999999998,0.3,0.0,0.09000000000000001,3.0,0.0,0.55375,0.8200000000000001,-0.03,0.09702380952380951,7.0,0.11249999999999999,0.3,0.0,0.053571428571428555,3.0,0.0,0.09666666666666664,0.8200000000000001,-1.16,0.18916083916083914,7.0,0.075,0.3,0.0,0.02832167832167831,3.0,0.0,True,train
2,2008-01,2008-01-15,-14.33,-170.5,6923.2,Exposed,0.0251,54.15,8.5,-0.76,0.0,57.5,0.87,1,False,False,1,1,1,United States,Samoa Tuvalu and Tonga,1,severe,True,False,True,,0.0,1.0,"['2007-10-29', '2007-11-05', '2007-11-12', '2007-11-19', '2007-11-26', '2007-12-03', '2007-12-10', '2007-12-17', '2007-12-24', '2007-12-31', '2008-01-07', '2008-01-14']",0.25,0.0,2008-01-14,1.0,12.0,12.0,0.0,77.0,0.0,0.31,0.0,0.32,0.0,-0.3,0.0,-0.19,0.0,0.2575,0.32,0.15,0.028999999999999953,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04625,0.32,-0.66,0.07178571428571429,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047499999999999994,0.32,-0.66,0.016258741258741233,8.0,0.0,0.0,0.0,0.0,0.0,0.0,True,train
2,2009-12,2009-12-15,-14.33,-170.5,6923.2,Exposed,0.0251,54.15,8.5,0.76,1.57,55.0,0.87,1,False,False,1,1,1,United States,Samoa Tuvalu and Tonga,1,severe,True,False,True,,-0.5000000000000004,0.8660254037844384,"['2009-09-28', '2009-10-05', '2009-10-12', '2009-10-19', '2009-10-26', '2009-11-02', '2009-11-09', '2009-11-16', '2009-11-23', '2009-11-30', '2009-12-07', '2009-12-14']",-0.03,0.0,2009-12-14,1.0,12.0,12.0,0.0,77.0,0.0,-0.2,0.0,-0.43,0.0,-0.38,0.0,-1.28,0.0,-0.2525,-0.03,-0.43,0.11900000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.40125,-0.03,-1.05,0.09749999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6999999999999998,-0.03,-1.52,0.132097902097902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,train
2,2010-03,2010-03-15,-14.33,-170.5,6923.2,Exposed,0.0251,54.15,8.5,0.96,0.0,30.0,0.87,1,False,False,1,1,1,United States,Samoa Tuvalu and Tonga,1,moderate,True,False,True,,0.8660254037844386,0.5000000000000001,"['2009-12-28', '2010-01-04', '2010-01-11', '2010-01-18', '2010-01-25', '2010-02-01', '2010-02-08', '2010-02-15', '2010-02-22', '2010-03-01', '2010-03-08', '2010-03-15']",0.74,0.31,2010-03-15,0.0,12.0,12.0,0.0,77.0,0.0,1.07,0.15,0.91,0.0,-0.4,0.0,0.84,0.0,0.645,1.07,-0.14,0.27999999999999997,3.0,0.11499999999999999,0.31,0.0,0.10800000000000001,2.0,0.0,0.32375,1.07,-0.4,0.11750000000000001,4.0,0.057499999999999996,0.31,0.0,0.03476190476190476,2.0,0.0,0.2725,1.07,-0.4,0.06451048951048952,7.0,0.03833333333333333,0.31,0.0,0.016643356643356633,2.0,0.0,True,train
4,2009-06,2009-06-13,-19.1483,146.8703,123.51,Sometimes,0.1819,43.39,5.0,-6.81,0.0,6.875,0.77,1,True,False,4,1,1,Australia,Central and northern Great Barrier Reef,1,mild,True,False,True,Multiple raw rows for the same site-date disagreed and were averaged.,0.49999999999999994,-0.8660254037844387,"['2009-03-23', '2009-03-30', '2009-04-06', '2009-04-13', '2009-04-20', '2009-04-27', '2009-05-04', '2009-05-11', '2009-05-18', '2009-05-25', '2009-06-01', '2009-06-08']",-5.04,0.0,2009-06-08,5.0,12.0,12.0,0.0,77.0,0.0,-5.25,0.0,-4.94,0.0,-4.39,0.17,-1.37,0.17,-4.7575,-3.8000000000000003,-5.25,-0.4029999999999989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.79875,-1.62,-5.25,-0.5144047619047619,0.0,0.085,0.17,0.0,-0.032380952380952364,4.0,0.0,-2.9491666666666667,-0.81,-5.25,-0.440034965034965,0.0,0.11333333333333334,0.17,0.0,-0.01902097902097901,8.0,0.0,True,train
4,2012-02,2012-02-17,-19.1483,146.8703,123.51,Sometimes,0.1819,43.39,3.0,0.61,2.51,0.75,0.87,1,False,False,2,1,1,Australia,Central and northern Great Barrier Reef,1,mild,True,False,True,,0.49999999999999994,0.8660254037844387,"['2011-11-28', '2011-12-05', '2011-12-12', '2011-12-19', '2011-12-26', '2012-01-02', '2012-01-09', '2012-01-16', '2012-01-23', '2012-01-30', '2012-02-06', '2012-02-13']",1.41,2.1,2012-02-13,4.0,12.0,12.0,0.0,77.0,0.0,1.42,0.9500000000000001,0.8200000000000001,0.15,0.0,0.0,-0.77,0.0,1.005,1.42,0.37,0.3719999999999999,4.0,0.8,2.1,0.0,0.7100000000000001,3.0,0.0,0.43374999999999997,1.42,-0.4,0.2629761904761904,5.0,0.4,2.1,0.0,0.2369047619047618,3.0,0.0,0.04416666666666667,1.42,-1.2,0.21332167832167825,5.0,0.26666666666666666,2.1,0.0,0.11433566433566429,3.0,0.0,True,train
4,2013-06,2013-06-16,-19.1483,146.8703,123.51,Sometimes,0.1819,43.39,4.0,-6.12,0.0,5.0,0.87,1,False,False,2,1,1,Australia,Central and northern Great Barrier Reef,1,mild,True,False,True,,0.49999999999999994,-0.8660254037844387,"['2013-03-25', '2013-04-01', '2013-04-08', '2013-04-15', '2013-04-22', '2013-04-29', '2013-05-06', '2013-05-13', '2013-05-20', '2013-05-27', '2013-06-03', '2013-06-10']",-5.47,0.0,2013-06-10,6.0,12.0,12.0,0.0,77.0,0.0,-5.41,0.0,-5.1000000000000005,0.0,-4.07,0.0,-3.09,2.4,-5.06,-4.26,-5.47,-0.393999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.97875,-1.6,-5.47,-0.5572619047619047,0.0,0.31124999999999997,2.15,0.0,-0.1994047619047618,2.0,0.0,-3.2541666666666664,-0.84,-5.47,-0.4351398601398601,0.0,1.0075,2.4,0.0,-0.2922727272727272,6.0,0.0,True,validation
