lat,lon,baa,dhw,sst_anom,turbidity,date,bleaching_present
20.825,-94.775,0,0.0,-4.51,0.0,1985-04-01,0
-25.725,106.075,1,4.39,0.39,0.0,1985-04-01,1
-28.625,82.725,1,1.72,0.37,0.0,1985-04-01,1
15.725,175.875,0,0.0,-2.85,0.0,1985-04-01,0
13.425,-152.425,0,0.0,-3.65,0.0,1985-04-01,0
-22.975,111.525,3,4.38,1.58,0.0,1985-04-01,1
6.575,152.675,0,0.0,-1.48,0.0,1985-04-01,0
-25.775,-7.675,0,0.0,-0.03,0.0,1985-04-01,0
-13.975,115.425,1,2.2800000000000002,0.63,0.0,1985-04-01,1
0.425,-21.975,1,0.0,0.07,0.0,1985-04-01,1
1.325,4.025,0,0.0,-0.28,0.0,1985-04-01,0
-21.425,-160.625,2,0.16,0.58,0.0,1985-04-01,1
-10.475,-139.825,1,0.0,-0.01,0.0,1985-04-01,1
-16.025,81.175,0,0.0,-0.4,0.0,1985-04-01,0
13.575,-82.425,0,0.0,-1.36,0.0,1985-04-01,0
-16.525,-145.575,1,0.0,-0.06,0.0,1985-04-01,1
-15.275,156.225,1,0.66,0.31,0.0,1985-04-01,1
25.575,159.825,0,0.0,-4.67,0.0,1985-04-01,0
14.575,96.275,0,0.0,-0.34,0.0,1985-04-01,0
-17.075,148.475,1,0.54,-0.44,0.0,1985-04-01,1
2.025,78.175,1,0.0,0.6,0.0,1985-04-01,1
-25.275,-116.075,1,1.3800000000000001,0.01,0.0,1985-04-01,1
22.525,-54.875,0,0.0,-3.61,0.0,1985-04-01,0
-8.425,-92.425,0,0.0,-0.34,0.0,1985-04-01,0
3.425,-77.975,0,0.0,-2.88,0.0,1985-04-01,0
-7.975,-163.125,0,0.0,-0.8,0.0,1985-04-01,0
-11.975,152.975,1,0.0,-0.13,0.0,1985-04-01,1
-1.025,44.575,1,0.0,0.54,0.0,1985-04-01,1
9.775,-153.825,0,0.0,-2.25,0.0,1985-04-01,0
2.425,-7.325,0,0.0,-0.8200000000000001,0.0,1985-04-01,0
-24.325,73.175,1,1.27,-0.04,0.0,1985-04-01,1
5.575,104.175,0,0.0,-2.34,0.0,1985-04-01,0
-5.125,167.275,0,0.0,-2.0300000000000002,0.0,1985-04-01,0
-5.475,-171.625,0,0.0,-1.16,0.0,1985-04-01,0
-26.125,13.025,0,4.13,-1.61,0.0,1985-04-01,0
-4.775,58.075,0,0.0,-0.52,0.0,1985-04-01,0
24.925,-79.975,0,0.0,-4.13,0.0,1985-04-01,0
12.025,142.875,0,0.0,-1.6,0.0,1985-04-01,0
-26.025,-6.425,0,0.0,-0.36,0.0,1985-04-01,0
-5.625,102.875,0,0.32,-0.27,0.0,1985-04-01,0
23.175,-121.325,0,0.0,-5.05,0.0,1985-04-01,0
-17.225,52.075,0,0.0,-0.1,0.0,1985-04-01,0
-29.725,-147.525,1,9.07,0.48,0.0,1985-04-01,1
-11.075,-128.125,1,0.0,0.01,0.0,1985-04-01,1
-27.225,-145.275,1,8.93,0.2,0.0,1985-04-01,1
-28.875,-20.975,0,0.0,-0.24,0.0,1985-04-01,0
-20.675,106.025,1,0.63,0.25,0.0,1985-04-01,1
14.725,61.925,0,0.0,-1.42,0.0,1985-04-01,0
0.125,-39.825,0,0.0,-0.67,0.0,1985-04-01,0
-4.175,120.875,0,0.0,-0.51,0.0,1985-04-01,0
12.025,70.775,0,0.0,-0.75,0.0,1985-04-01,0
13.175,-177.775,0,0.0,-1.87,0.0,1985-04-01,0
